"","start.station.id","X","start.station.latitude","start.station.longitude","hire","start.station.name"
"148",390,263,40.69221589,-73.9842844,1144,"Duffield St & Willoughby St"
"385",3151,599,40.7728384,-73.94989233,1142,"E 81 St & York Ave"
"650",3534,553,40.805159,-73.954692,1139,"Frederick Douglass Blvd & W 117 St"
"667",3553,526,40.801694,-73.957145,1132,"Frederick Douglass Blvd & W 112 St"
"440",3286,581,40.7806284,-73.9521667,1130,"E 89 St & 3 Ave"
"83",310,208,40.68926942,-73.98912867,1120,"State St & Smith St"
"102",331,171,40.71173107,-73.99193043,1117,"Pike St & Monroe St"
"424",3242,174,40.6910292567797,-73.991833627224,1108,"Schermerhorn St & Court St"
"487",3336,565,40.787801,-73.953559,1106,"E 97 St & Madison Ave"
"374",3139,461,40.7711828754066,-73.9640942215919,1099,"E 72 St & Park Ave"
"502",3351,674,40.7869946,-73.94164802,1093,"E 102 St & 1 Ave"
"241",503,232,40.73827428,-73.98751968,1086,"E 20 St & Park Ave"
"401",3169,306,40.78720869,-73.98128127,1086,"Riverside Dr & W 82 St"
"444",3292,522,40.7857851,-73.957481,1083,"5 Ave & E 93 St"
"467",3315,106,40.6847514,-73.99917254,1083,"Henry St & Degraw St"
"164",408,151,40.71076228,-73.99400398,1082,"Market St & Cherry St"
"347",3108,654,40.72557,-73.94434,1078,"Nassau Ave & Russell St"
"37",244,450,40.69196035,-73.96536851,1077,"Willoughby Ave & Hall St"
"380",3145,519,40.77862688,-73.95772073,1075,"E 84 St & Park Ave"
"324",3078,489,40.7092482627616,-73.9606314897537,1072,"Broadway & Roebling St"
"49",260,18,40.70365182,-74.01167797,1069,"Broad St & Bridge St"
"54",266,368,40.72368361,-73.97574813,1067,"Avenue D & E 8 St"
"169",414,226,40.70281858,-73.98765762,1056,"Pearl St & Anchorage Pl"
"339",3096,577,40.71924,-73.95242,1054,"Union Ave & N 12 St"
